id;parent child;Основные разделы
1;0;Общая информация
2;1;Общая информация о Экспертном Совете
3;1;Положение
4;0;Участники
5;0;Деятельность
6;5;Основные задачи
7;5;План работ
8;5;Протоколы заседаний, заключения
9;0;Пресс-центр
10;9;Новости;news/front
11;9;Публикации в СМИ;smi/front/index
12;9;Календарь заседаний;afisha/front/index
13;9;Видеоматериалы;video/front/view
14;9;Фотоматериалы;photoGallery/front/index
