1	Единая диспетчерская ЖКХ Ростовской области, в том числе по вопросам отопления	(863) 240-13-60	0
2	Центр телефонного обслуживания (единая справочная о предоставлении государственных и муниципальных услуг)	8-800-100-70-10	0
3	Единый телефон лесной охраны	8-800-100-94-00	0
4	Вопросы малого и среднего предпринимательства	8-800-555-00-61	0
\.


