1	9	1	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-ekonomiki	0
2	9	27	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-ekonomiki	0
3	9	25	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-ekonomiki	0
5	402	32	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-prirodnyh-resursov-i-ohrany-okruzhayuschey-sredy-tomskoy-oblasti	0
6	3	33	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-kulture-i-turizmu-tomskoy-oblasti/	0
7	9	35	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-investitsiy-tomskoy-oblasti	0
8	216	28	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-promyshlennosti-i-razvitiya-predprinimatelstva-tomskoy-oblasti	0
9	217	37	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-arhitektury-stroitelstva-i-dorozhnogo-kompleksa-tomskoy-oblasti	0
10	218	2	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-nedropolzovaniyu-i-razvitiyu-neftegazodobyvayuschego-kompleksa/	0
11	218	3	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-energetiki-administratsii-tomskoy-oblasti/	0
12	218	20	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/komitet-po-atomnoy-promyshlennosti/	0
13	219	1	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-ekonomiki/	0
14	221	31	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-sotsialno-ekonomicheskomu-razvitiyu-sela-tomskoy-oblasti	0
15	240	4	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-nauke-i-innovatsionnoy-politike-administratsii-tomskoy-oblasti	0
16	155	4	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-nauke-i-innovatsionnoy-politike-administratsii-tomskoy-oblasti	0
17	513	35	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-investitsiy-tomskoy-oblasti	0
18	157	9	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-mezhdunarodnyh-i-regionalnyh-svyazey	0
19	126	38	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-obschego-obrazovaniya-tomskoy-oblasti	0
20	312	5	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-vysshemu-professionalnomu-obrazovaniyu-administratsii-tomskoy-oblasti	0
21	317	47	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/komitet-po-kontrolyu-nadzoru-i-litsenzirovaniyu-v-sfere-obrazovaniya-tomskoy-oblasti	0
22	324	4	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-nauke-i-innovatsionnoy-politike-administratsii-tomskoy-oblasti	0
23	299	41	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-truda-i-zanyatosti-naseleniya-tomskoy-oblasti	0
24	301	40	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-sotsialnoy-zaschity-naseleniya-tomskoy-oblasti	0
25	302	42	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-voprosam-semi-i-detey-tomskoy-oblasti	0
