Authenticated	Feedback.Front.*
Authenticated	News.Front.*
Guest	News.Front.*
Authenticated	Pages.Front.*
Guest	Pages.Front.*
Authenticated	User.Activation.*
Guest	User.Activation.*
Authenticated	User.Login.*
Guest	User.Login.*
Authenticated	User.Logout.*
Guest	User.Logout.*
Authenticated	User.Recovery.*
Guest	User.Recovery.*
Authenticated	User.Registration.*
Guest	User.Registration.*
Guest	Feedback.Front.*
PortalAdmin	Authenticated
Guest	Main.*
Guest	Afisha.Front.*
Guest	Documents.Front.*
Authenticated	Vote.Front.*
Guest	Vote.Front.*
Authenticated	Experts.*
Guest	Experts.*
PortalAdmin	PhotoGallery.Front.*
Authenticated	PhotoGallery.Front.*
Guest	PhotoGallery.Front.*
Guest	People.Front.*
Authenticated	People.Front.*
Authenticated	Government.Front.*
Guest	Government.Front.*
Guest	Files.Front.*
Guest	Appeal.Front.*
Guest	AntiCorruption.Front.*
Guest	People.Iogv.*
Guest	People.Office.*
Guest	People.Offices.*
Guest	People.PeopleStaff.*
Guest	People.PeopleUnit.*
Guest	PublicReport.Front.*
Guest	Rating.Front.*
Guest	Smi.Front.*
Guest	Staff.Front.*
Guest	Stenogramm.Front.*
Guest	Video.Front.*
Guest	Audio.Front.*
Guest	Opendata.Front.*
\.


