8	4	ertert	http://sdfsdf4sdf.er	0	\N
9	10	re	http://sdfsdf4sdf.er	0	\N
10	4	sdfsdfqq we qwe	http://sdfsdfsdf.ert	0	\N
11	11	333333333333333333333333333	http://sdfsdf4sdf.er	0	\N
12	11	asdasd	http://ya.ru	0	\N
13	27	депаратмент экономика	http://www.admhmao.ru/wps/portal/hmao/vse_novosti/novost/3d6649b1-cd9a-4c35-8107-9d03e0b4db4b	0	\N
14	13	Департамент тарифного регулирования Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-tarifnogo-regulirovaniya-tomskoy-oblasti	0	\N
15	13	Департамент экономики	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-ekonomiki	0	\N
16	13	Экспертный совет при заместителе Губернатора Томской области по экономике	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/ekspertnyy-sovet-pri-zamestitele-gubernatora-tomskoy-oblasti-po-ekonomike	0	\N
17	29	Департамент государственного заказа Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-gosudarstvennogo-zakaza-tomskoy-oblasti	0	\N
18	29	Департамент финансов Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-finansov	0	\N
19	30	Комитет по атомной промышленности	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/komitet-po-atomnoy-promyshlennosti	0	\N
20	30	Департамент промышленности и развития предпринимательства Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-promyshlennosti-i-razvitiya-predprinimatelstva-tomskoy-oblasti	0	\N
21	30	Департамент по недропользованию и развитию нефтегазодобывающего комплекса	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-nedropolzovaniyu-i-razvitiyu-neftegazodobyvayuschego-kompleksa	0	\N
22	30	Департамент энергетики Администрации Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-energetiki-administratsii-tomskoy-oblasti	0	\N
23	30	Департамент транспорта, дорожной деятельности и связи Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-transporta-dorozhnoy-deyatelnosti-i-svyazi-tomskoy-oblasti	0	\N
24	30	Экспертный совет при заместителе Губернатора Томской области по промышленной политике	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/ekspertnyy-sovet-pri-zamestitele-gubernatora-tomskoy-oblasti-po-promyshlennosti-i-tek	0	\N
25	31	Департамент развития информационного общества Администрации Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-razvitiya-informatsionnogo-obschestva	0	\N
26	31	Департамент по науке и инновационной политике Администрации Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-nauke-i-innovatsionnoy-politike-administratsii-tomskoy-oblasti	0	\N
27	31	Департамент по высшему профессиональному образованию Администрации Томской области	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/departament-po-vysshemu-professionalnomu-obrazovaniyu-administratsii-tomskoy-oblasti	0	\N
28	31	Экспертный совет при заместителе Губернатора Томской области по научно-образовательному комплексу и инновационной политике	http://tomsk.gov.ru/ru/organy-vlasti/administratsiya-tomskoy-oblasti/ekspertnyy-sovet-pri-zamestitele-gubernatora-tomskoy-oblasti-po-nauchno-obrazovatelnomu-kompleksu-i-innovatsionnoy-politike	0	\N
