1	Основной	new_portal.dev	tomsk	0
54	123123123	selhoz2.tomsk.dpridprod.ru	iogv	1
53	Сельскле хоз	selhoz.tomsk.dpridprod.ru	iogv	1
50	Департамент экономики	economic.tomsk.dpridprod.ru	iogv	1
52	Главная инспекция государственного строительного надзора 	gsn.tomsk.dpridprod.ru	iogv	1
55	Департамент рыболовли и лесного хозяйства	suma.tomsk.dpridprod.ru	iogv	1
56	Департамент экономики	ek.tomsk.dpridprod.ru	iogv	1
57	Департамент лесного хозяйства Томской области	leshoz.tomsk.dpridprod.ru	iogv	1
58	test	test.tomsk.dpridprod.ru	iogv	1
\.


