1	Указ Президента РФ
2	Постановление Правительства РФ
3	Федеральный закон
4	Закон Российской Федерации
5	Распоряжение Правительства РФ
6	Приказ
7	Распоряжение
8	Методические рекомендации
9	Проект
10	Устав
11	Письмо
12	Постановление Губернатора Томской области
13	Закон Томской области
14	Постановление Администрации Томской области
\.


